id_employee,start_date,mark
23788,2026-02-01,17
23836,2026-02-01,12
23843,2026-02-01,20
23868,2026-02-01,14
23869,2026-02-01,11
23883,2026-02-01,12
23895,2026-02-01,19
23896,2026-02-01,25
23897,2026-02-01,14
23900,2026-02-01,14
23901,2026-02-01,15
23916,2026-02-01,15
23922,2026-02-01,15
23929,2026-02-01,14
23934,2026-02-01,13
23935,2026-02-01,15
23936,2026-02-01,14
23969,2026-02-01,18
23992,2026-02-01,25
24001,2026-02-01,11
24130,2026-02-01,16
24220,2026-02-01,23
24228,2026-02-01,14
24349,2026-02-01,12
24370,2026-02-01,14
24392,2026-02-01,14
24414,2026-02-01,14
24461,2026-02-01,16
24474,2026-02-01,12
24480,2026-02-01,15
24485,2026-02-01,13
24520,2026-02-01,17
24526,2026-02-01,12
24530,2026-02-01,14
24534,2026-02-01,14
24535,2026-02-01,18
24551,2026-02-01,13
24557,2026-02-01,19
24558,2026-02-01,16
24561,2026-02-01,20
24563,2026-02-01,12
24568,2026-02-01,13
24582,2026-02-01,20
24596,2026-02-01,17
24599,2026-02-01,20
24606,2026-02-01,14
24616,2026-02-01,20
24618,2026-02-01,9
24619,2026-02-01,10
24620,2026-02-01,13
24621,2026-02-01,12
24622,2026-02-01,12
24623,2026-02-01,19
24624,2026-02-01,9
24627,2026-02-01,23
24630,2026-02-01,9
24631,2026-02-01,12
24632,2026-02-01,9
24633,2026-02-01,9
24634,2026-02-01,9
24635,2026-02-01,20
24636,2026-02-01,12
24637,2026-02-01,20
24644,2026-02-01,10
24645,2026-02-01,10
24646,2026-02-01,11
24647,2026-02-01,9
24648,2026-02-01,12
24649,2026-02-01,13
24656,2026-02-01,10
24657,2026-02-01,9
24661,2026-02-01,16
24663,2026-02-01,19
24664,2026-02-01,14
24666,2026-02-01,17
24667,2026-02-01,21
24668,2026-02-01,18
24669,2026-02-01,20
24674,2026-02-01,20
24675,2026-02-01,14
24679,2026-02-01,10
24680,2026-02-01,11
24681,2026-02-01,10
24683,2026-02-01,11
24684,2026-02-01,12
24695,2026-02-01,20
24700,2026-02-01,12
24701,2026-02-01,12
24706,2026-02-01,12
24712,2026-02-01,15
24727,2026-02-01,12
24728,2026-02-01,12
24729,2026-02-01,14
24731,2026-02-01,11
24737,2026-02-01,11
24742,2026-02-01,19
24744,2026-02-01,14
24750,2026-02-01,10
24751,2026-02-01,13
24755,2026-02-01,10
24756,2026-02-01,9
24764,2026-02-01,14
24765,2026-02-01,9
24776,2026-02-01,12
24780,2026-02-01,12
24782,2026-02-01,10
24783,2026-02-01,10
24784,2026-02-01,11
24785,2026-02-01,14
24791,2026-02-01,10
24792,2026-02-01,9
24852,2026-02-01,10
24853,2026-02-01,10
24854,2026-02-01,9
24855,2026-02-01,11
24856,2026-02-01,10
24857,2026-02-01,10
24858,2026-02-01,9
24859,2026-02-01,11
24861,2026-02-01,9
24864,2026-02-01,13
24866,2026-02-01,12
24867,2026-02-01,9
24868,2026-02-01,9
24871,2026-02-01,11
24877,2026-02-01,9
24878,2026-02-01,10
24882,2026-02-01,12
24883,2026-02-01,10
24886,2026-02-01,12
24898,2026-02-01,11
9020001,2026-02-01,15
9020004,2026-02-01,11
9020014,2026-02-01,12
9020024,2026-02-01,12
9020078,2026-02-01,12
9020090,2026-02-01,11
9020105,2026-02-01,12
9020106,2026-02-01,12
9020109,2026-02-01,12
9020114,2026-02-01,15
9020115,2026-02-01,12
9020118,2026-02-01,11
9020171,2026-02-01,12
9020177,2026-02-01,15
9020180,2026-02-01,15
9020182,2026-02-01,12
9020186,2026-02-01,13
9020196,2026-02-01,15
